OBJECTID,DATA_DATE,ROUTE_COMM,HTRIS_ID,ROUTE_ALIA,START_LABE,END_LABEL,ADT,ADT_QUALIT,PERCENT_4_,PERCENT_BU,PERCENT_TR,PERCENT__1,PERCENT__2,PERCENT__3,CLASS_QUAL,K_FACTOR,K_FACTOR_Q,DIRECTION_,AAWDT,AAWDT_QUAL,LOC_COMP_D,ROUTE_FROM,FROM_JURIS,ROUTE_TO_M,TO_JURISDI,PEAK_SINGL,PEAK_COMBI,DATA_CUSTO,METADATA_U,ROUTE_NAME,EVENT_SOUR,EVENT_LOCA,EVENT_COMP,MAXIMUMSCA,ROUTE_CO_1,DATA_YEARO,Shape_STLength__,Shape_Length
4244,2012,UR-3N (City of Roanoke), 12800003,128-3 Wonju St,Bus US 220 Franklin Rd,US 220 Roy Webber Expwy,14000,F,98.489,0.134,0.675,0.227,0.475,0,C,0.0945,F,0.6097,15000,F,Master Prime,0.05,City of Roanoke,0.18,City of Roanoke,0.04631,0.02646,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA128UR00003NB,666453,1,2,400000,UR-3N (City of Roanoke) - ADT 14000,2012,266.09594393,0.00193199567850372
4245,26-JUN-09,SC-1048E (Roanoke County),  8001048,80-1048 Orchard Park Dr,80-1220 Hunt Ridge Rd,"11-1459; Botetourt County Line",130,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.28,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01048EB,785446,1,1,24000,SC-1048E (Roanoke County) - ADT 130,2009,544.22701445,0.00470080147555749
4246,23-JAN-08,SC-825N (Montgomery County),  6000825,60-825 Great Valley,Dead End,60-769 Great Valley,6,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Montgomery County,0.02,Montgomery County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA060SC00825NB,754147,1,1,48000,SC-825N (Montgomery County) - ADT 6,2008,61.29259151,0.000484843271327017
4247,2012,UR-3E (City of Bedford), 14100003,141-3 Orange St,Gold Rd,ECL Bedford,820,G,94.435,0.651,3.256,0.888,0.77,0,F,0.1097,F,0.5533,870,G,Bidirectional,0.39,City of Bedford,1.86,City of Bedford,0.00236,0.00053,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA141UR00003EB,605217,1,1,200000,UR-3E (City of Bedford) - ADT 820,2012,2994.55150678,0.0252448429606087
4248,02-JUN-10,SC-678E (Bedford County),  0900678,09-678 Parker Rd,Dead End,SR 43 Peaks Rd,340,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Bedford County,2.65,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC00678EB,705806,1,1,48000,SC-678E (Bedford County) - ADT 340,2010,4894.97931598,0.0414989705124815
4249,15-MAY-07,SC-618E (Botetourt County),  1100618,11-618 Chestnut Run Rd,"11-614 S, Jennings Creek Rd",11-619 Noell Hollow Rd,20,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,4.81,Botetourt County,5.61,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC00618EB,706870,1,1,48000,SC-618E (Botetourt County) - ADT 20,2007,1603.9863336,0.0138855925657407
4250,24-JUL-09,SC-1385E (Roanoke County),  8001385,80-1385 Farmwood Dr,80-685 Keagy Rd,Cul-de-Sac,300,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.23,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01385EB,766499,1,1,24000,SC-1385E (Roanoke County) - ADT 300,2009,462.0428424,0.00389108084156168
4251,2012,UR-8053N (City of Roanoke), 12808053,128-8053 Liberty Rd,Williamson Rd,Plantation Rd,4500,F,98.678,0.3,0.578,0.267,0.178,0,F,0.097,F,0.5346,4800,F,Bidirectional,1.09,City of Roanoke,1.49,City of Roanoke,0.08536,0.02134,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA128UR08053NB,666524,1,1,200000,UR-8053N (City of Roanoke) - ADT 4500,2012,793.52557233,0.006657019065603
4252,15-JUN-10,SC-1348E (Bedford County),  0901348,09-1348 Shane Meadow Court,09-1347 Riley Run Rd,Cul-de-Sac,110,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Bedford County,0.06,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC01348EB,795549,1,1,48000,SC-1348E (Bedford County) - ADT 110,2010,121.84352751,0.0010919564265511
4253,19-MAY-10,SC-1054N (Botetourt County),  1101054,11-1054 Quail Lane,11-1052 Andrew Dr,Cul-de-Sac,70,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Botetourt County,0.08,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC01054NB,707327,1,1,48000,SC-1054N (Botetourt County) - ADT 70,2010,175.72860131,0.0013681853565225
4254,10-JUL-09,SC-1187N (Roanoke County),  8001187,80-1187 Innsbrook Dr,80-1186 Carleton Dr,Cul-de-Sac,730,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.12,Roanoke County,0.31,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01187NB,792543,1,1,24000,SC-1187N (Roanoke County) - ADT 730,2009,382.86614828,0.00293577059369091
4255,28-OCT-11,SC-1491N (Franklin County),  3301491,33-1491 Shadywood Dr,33-1490 Cedar Ridge Rd,Cul-de-Sac,60,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,0.26,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC01491NB,739169,1,1,48000,SC-1491N (Franklin County) - ADT 60,2011,527.39752162,0.00410501197587491
4256,01-MAY-07,SC-1319E (Botetourt County),  1101319,11-1319 3rd St,11-1303 Bridge St,US 11 Main St,80,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Botetourt County,0.15,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC01319EB,707456,1,1,48000,SC-1319E (Botetourt County) - ADT 80,2007,274.460913,0.00229474021121156
4257,2012,UR-4661N (City of Radford), 12604661,126-4661 Second Ave,Sundell Park,Grove Ave,5100,G,99.017,0.469,0.39,0.097,0.027,0,C,0.106,F,0.7844,5500,G,Bidirectional,0,City of Radford,0.98,City of Radford,0.25228,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA126UR04661NB,663116,1,1,400000,UR-4661N (City of Radford) - ADT 5100,2012,1903.40291283,0.0146434470849986
4258,20-JAN-10,SC-1031N (Botetourt County),  1101031,11-1031 Harvest Lane,11-1032 Greenwich Lane,11-1030 Ivy Lane,80,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Botetourt County,0.22,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC01031NB,707293,1,1,24000,SC-1031N (Botetourt County) - ADT 80,2010,431.23163904,0.00312276524022862
4259,2012,UR-8002E (City of Salem), 12908002,129-8002 Front Ave,Mulberry St,King Street,2900,F,97.004,0.144,0.721,2.051,0.08,0,C,0.0923,F,0.5548,3100,F,Bidirectional,1.77,City of Salem,2.42,City of Salem,0.06276,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA129UR08002EB,781765,1,1,24000,UR-8002E (City of Salem) - ADT 2900,2012,1330.94318923,0.010485561595737
4260,25-OCT-06,SC-796E (Roanoke County),  8000796,80-796 Pleasant Run Dr,80-894 Edgewood St,"US 11 N, West Main St",450,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.58,Roanoke County,0.63,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00796EB,765868,1,1,24000,SC-796E (Roanoke County) - ADT 450,2006,119.49515202,0.000896908172295375
4261,2012,UR-3506N (Town of Christiansburg), 15403506,154-3506 Ellett Rd,SR 111 Cambria St,NCL Christiansburg,2200,G,97.858,0.499,0.665,0.666,0.312,0,C,0.1103,F,0.5613,2400,G,Bidirectional,0,Town of Christiansburg,0.39,Town of Christiansburg,0.08162,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA154UR03506NB,618207,1,1,200000,UR-3506N (Town of Christiansburg) - ADT 2200,2012,801.84973747,0.00678795036593148
4262,2012,UR-8028W (City of Roanoke), 12808028W,128-8028 Patterson Ave,"Bus US 11; Salem Ave SW; 2nd St SW",128-8045 Boulevard St,5400,F,94.912,0.342,2,0.746,2,0,C,0.0926,F,0.5769,5800,F, ,0, ,0.05,City of Roanoke,0.12501,0.24909,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA128UR08028WB,666474,1,3,200000,UR-8028W (City of Roanoke) - ADT 5400,2012,101.35214637,0.000895421000040674
4263,08-NOV-06,SC-786E (Roanoke County),  8000786,80-786 Willett Lane,80-612 Poor Mountain Rd,80-612 Poor Mountain Rd,60,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,1.72,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00786EB,765855,1,1,48000,SC-786E (Roanoke County) - ADT 60,2006,3473.79062331,0.0285036528100955
4264,09-SEP-09,SC-1659N (Roanoke County),  8001659,80-1659 Gaylord Rd,80-1658 Cresthill Dr,80-1657 Cordell Dr,80,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.11,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01659NB,766809,1,1,24000,SC-1659N (Roanoke County) - ADT 80,2009,233.80305114,0.00181406709991314
4265,2012,SC-644E (Bedford County),  0900644,09-644 Coffee Rd,09-621 Cottontown Rd,09-624 Indered Farm Rd,510,G,96.76,0.951,0.797,0.463,1.029,0,F,0.1324,F,0.5584,540,G,Bidirectional,17.26,Bedford County,18.21,Bedford County,0.32438,0.2595,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC00644EB,403386,1,1,200000,SC-644E (Bedford County) - ADT 510,2012,1942.86399809,0.016099565926413
4266,20-SEP-06,SC-866N (Roanoke County),  8000866,80-866 Mount Pleasant Blvd,Dead End,"80-659 S, Mayfield Dr",250,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.23,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00866NB,765964,1,1,24000,SC-866N (Roanoke County) - ADT 250,2006,441.86299793,0.00338025675519519
4267,2012,UR-8041N (City of Roanoke), 12808041,128-8041 10th St,128-17 Salem Ave SW,US 460 Orange Ave,7100,F,96.903,0.425,1.013,0.524,1.136,0,F,0.0881,F,0.5344,7600,F,Master Prime,0.19,City of Roanoke,0.67,City of Roanoke,0.08986,0.02995,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA128UR08041NB,666497,1,1,400000,UR-8041N (City of Roanoke) - ADT 7100,2012,953.59361488,0.00714345999085074
4268,2012,VA-311S,  SR00311S,VA 311 Thompson Memorial Dr,Main St,Rose Ln,11000,F,98.25,0.267,0.606,0.319,0.554,0.004,C,0.108,F,0.5545,12000,F,Master Non-Prime,0.17,City of Salem,1.11,City of Salem,0.05724,0.04104,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA   SR00311SB,686151,1,2,400000,VA-311S - ADT 11000,2012,1880.51260031,0.0136273444160623
4269,19-MAY-10,SC-787N (Botetourt County),  1100787,11-787 Daleway Dr,11-786 Mimosa St,Dead End,50,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.12,Botetourt County,0.2,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC00787NB,707189,1,1,24000,SC-787N (Botetourt County) - ADT 50,2010,208.04324314,0.00154149468982538
4270,23-APR-10,SC-688N (Botetourt County),  1100688,11-688 Salt Petre Cave Rd,11-809 Salisbury Rd,11-808 Coffey Lane,110,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,2.22,Botetourt County,2.55,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC00688NB,707046,1,1,48000,SC-688N (Botetourt County) - ADT 110,2010,681.07992757,0.00501448029139488
4271,08-JUL-09,SC-2020N (Roanoke County),  8002020,80-2020 Twin Mountain Circle,80-1079 Twin Mtns Dr,Cul-de-Sac,70,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.14,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC02020NB,767263,1,1,24000,SC-2020N (Roanoke County) - ADT 70,2009,292.70803715,0.0023589635019976
4272,20-MAY-09,SC-1711N (Roanoke County),  8001711,80-1711 June Dr,80-1714 Byron Circle,80-1713 Wayburn Dr,490,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.12,Roanoke County,0.2,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01711NB,766889,1,1,24000,SC-1711N (Roanoke County) - ADT 490,2009,168.9145984,0.00126711864388819
4273,12-AUG-09,SC-1250E (Roanoke County),  8001250,80-1250 Mallard Lake Dr,80-1251 Mallard Lake Court,80-934 Shingle Ridge Rd,240,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.13,Roanoke County,0.29,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01250EB,766386,1,1,48000,SC-1250E (Roanoke County) - ADT 240,2009,322.60521251,0.0026411630907228
4274,09-MAY-08,SC-692N (Franklin County),  3300692,33-692 Rock Lilly Rd,33-700 Kent Rd,33-856 Rainbow Rd,490,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.26,Franklin County,0.36,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00692NB,738363,1,1,48000,SC-692N (Franklin County) - ADT 490,2008,180.99654504,0.00133137081592136
4275,2012,US-11N,  US00011,US 11 Lee Highway,80-601 Shadwell Dr,ALT SR 220 Cloverdale Rd,12000,G,89.796,0.878,0.878,2.114,6.246,0.088,C,0.0869,F,0.5748,12000,G,Bidirectional,159.17,Botetourt County,161.9,Botetourt County,0.14599,0.3615,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA   US00011NB,20120,1,1,1600000,US-11N - ADT 12000,2012,5627.416071,0.0441959365354303
4276,30-MAR-05,SC-632E (Craig County),  2200632,22-632,22-658 MID,22-658 EAST,70,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,5.5,Craig County,15.06,Craig County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA022SC00632EB,719758,1,1,48000,SC-632E (Craig County) - ADT 70,2005,19413.8533129,0.161650701242615
4277,22-APR-10,SC-835E (Botetourt County),  1100835,11-835 Callie Mines Rd,End State Maintenance,Alleghany County Line,120,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Botetourt County,0.66,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC00835EB,707242,1,1,48000,SC-835E (Botetourt County) - ADT 120,2010,1397.79176511,0.0115709893203068
4278,25-OCT-06,SC-895N (Roanoke County),  8000895,80-895 Maywood Ave,80-896 Dogwood Ave,80-894 Edgewood St,100,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.25,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00895NB,765996,1,1,24000,SC-895N (Roanoke County) - ADT 100,2006,491.10901315,0.00356288960176905
4279,18-JAN-05,SC-661N (Montgomery County),  6000661,60-661 Silver Lake Rd,SWCL Christiansburg,60-662 Chrisman Mill Rd,300,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Montgomery County,0.98,Montgomery County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA060SC00661NB,753946,1,1,48000,SC-661N (Montgomery County) - ADT 300,2005,1933.47036656,0.0156175116625577
4280,13-NOV-06,SC-713E (Roanoke County),  8000713,80-713 Glen Heather Dr,80-1317 Tannehill Dr,SR 419 Electric Rd,510,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.08,Roanoke County,0.13,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC00713EB,765757,1,1,24000,SC-713E (Roanoke County) - ADT 510,2006,109.12252857,0.00090199110125079
4281,18-APR-07,SC-1504E (Botetourt County),  1101504,11-1504 2nd St,11-1502 Poplar Dr,Dead End,30,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.23,Botetourt County,0.26,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC01504EB,707553,1,1,24000,SC-1504E (Botetourt County) - ADT 30,2007,41.23988169,0.000357529781782259
4282,13-JUL-11,SC-1602N (Franklin County),  3301602,33-1602 Boon St,33-1603 Main St,33-1601 Easy St,1400,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.05,Franklin County,0.06,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC01602NB,739206,1,1,48000,SC-1602N (Franklin County) - ADT 1400,2011,25.47442795,0.000214497074999541
4283,18-JAN-05,SC-662N (Montgomery County),  6000662,60-662 Silver Lake Rd,"US 11 W, Radford St","60-661 Chrisman Mill Rd; Silver Lake Rd",110,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.72,Montgomery County,1.22,Montgomery County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA060SC00662NB,753951,1,1,48000,SC-662N (Montgomery County) - ADT 110,2005,1017.02134625,0.00818963331532305
4284,2012,US-221S,  US00221S,US 221 Brambleton Rd,"80-897 Crystal Creek Dr; 80-1646",80-1683 Arlington Hills Dr,14000,G,98.613,0.28,0.537,0.385,0.186,0.003,C,0.0986,X,0.6287,16000,G,Master Non-Prime,91.92,Roanoke County,92.14,Roanoke County,0.22579,0.01282,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA   US00221SB,20410,1,2,1600000,US-221S - ADT 14000,2012,407.94524214,0.00321981344472713
4285,2012,US-221N,  US00221,US 221 Floyd Highway North,31-661 Booth Creek Rd Kings Store Rd,31-642 Meadow Run Rd,2000,G,96.585,0.292,1.46,0.809,0.854,0,C,0.0946,F,0.6274,2100,G,Bidirectional,68.71,Floyd County,72.5,Floyd County,0.16839,0.04162,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA   US00221NB,20048,1,1,800000,US-221N - ADT 2000,2012,7607.1035726,0.0607196007080014
4286,24-JUN-11,SC-951N (Franklin County),  3300951,33-951 Redbud Lane,33-1234 Long Island Dr,Dead End,50,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0.8,Franklin County,1.25,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00951NB,738764,1,1,48000,SC-951N (Franklin County) - ADT 50,2011,754.76509106,0.0064740052970747
4287,19-MAY-10,SC-674E (Botetourt County),  1100674,11-674 Tinker Mill Rd,Dead End,US 220 Roanoke Rd,630,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Botetourt County,0.84,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC00674EB,707019,1,1,48000,SC-674E (Botetourt County) - ADT 630,2010,1707.88537083,0.0136292173850056
4288,20-SEP-11,SC-1329E (Franklin County),  3301329,33-1329 Buck Run,Cul-de-Sac,33-1328 Antler Ridge Rd,80,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,0.45,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC01329EB,739048,1,1,48000,SC-1329E (Franklin County) - ADT 80,2011,904.23410038,0.00725070428222771
4289,09-APR-08,SC-631E (Floyd County),  3100631,31-631 Sawmill Hill Rd,31-803 Akers Rd,31-750 Alum Ridge Rd,20,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,6.68,Floyd County,7.68,Floyd County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA031SC00631EB,737503,1,1,48000,SC-631E (Floyd County) - ADT 20,2008,2017.37820235,0.0167969686052715
4290,2012,BUS US-460E   (8 Blacksburg),C8US00460,Bus US 460 Main St,Mount Tabor Rd,Patrick Henry Dr,7200,G,98.299,0.972,0.28,0.222,0.228,0,C,0.1013,F,0.6628,7700,G,Bidirectional,1.01,Town of Blacksburg,1.88,Town of Blacksburg,0.078,0.02634,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA   US00460EBBUS008,607201,1,1,400000,BUS US-460E   (8 Blacksburg) - ADT 7200,2012,1730.56571226,0.012779557678941
4291,2012,SC-619E (Bedford County),  0900619,09-619 Jordantown Rd,"09-616 N, Sandy Ford Rd",09-726 Quarterwood Rd,930,G,98.079,0.51,0.804,0.353,0.254,0,F,0.0952,F,0.6337,970,G,Bidirectional,8.91,Bedford County,9.9,Bedford County,0.33796,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC00619EB,403339,1,1,200000,SC-619E (Bedford County) - ADT 930,2012,1973.37548081,0.0169425292033639
4292,20-JUN-08,SC-935N (Franklin County),  3300935,33-935 Fairlane Rd,Dead End,33-890 Snow Creek Rd,80,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Franklin County,0.5,Franklin County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA033SC00935NB,738724,1,1,48000,SC-935N (Franklin County) - ADT 80,2008,947.20196452,0.00705269334330052
4293,26-AUG-09,SC-1420N (Roanoke County),  8001420,80-1420 Fox Ridge Rd,Cul-de-Sac,80-1423 Fox Den Rd,120,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.15,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01420NB,766520,1,1,24000,SC-1420N (Roanoke County) - ADT 120,2009,317.72227034,0.0028125811658644
4294,14-JUN-07,SC-722N (Bedford County),  0900722,09-722 Wilson Church Rd,09-725 Phelps Rd,09-819 Old Country Rd,40,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,2.1,Bedford County,2.7,Bedford County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA009SC00722NB,705902,1,1,48000,SC-722N (Bedford County) - ADT 40,2007,1504.74780766,0.0121389065392429
4295,23-APR-10,SC-742N (Botetourt County),  1100742,11-742 Branch Rd,SR 43 Second St,11-734 Indian Lane,180,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Botetourt County,0.27,Botetourt County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA011SC00742NB,707123,1,1,48000,SC-742N (Botetourt County) - ADT 180,2010,562.66153048,0.0042325152210189
4296,2012,I-81S,  IS00081S,I-81 SB,SCL Salem,SR 112 Wildwood Rd,50000,G,75.878,0.799,0.876,0.71,20.23,1.522,F,0.0993,X,0.6281,50000,G,Master Non-Prime,137.47,Roanoke County,137.75,Roanoke County,0.1847,1.24423,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA   IS00081SB,120037,1,1,4000000,I-81S - ADT 50000,2012,956.35946934,0.00843269186703858
4297,28-MAR-08,SC-639N (Floyd County),  3100639,31-639 Radford Rd,"31-666 Cypress Dr; Franklin County Line","31-888 E, Cypress Dr",20,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Floyd County,0.5,Floyd County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA031SC00639NB,737522,1,1,48000,SC-639N (Floyd County) - ADT 20,2008,973.67899767,0.00789134726748032
4298,07-OCT-09,SC-1996N (Roanoke County),  8001996,80-1996 Larson Oaks,80-1995 Larson Lane,Cul-de-Sac,210,R,0,0,0,0,0,0,X,0,X,0,0,X,Bidirectional,0,Roanoke County,0.2,Roanoke County,0,0,mailto:Tom.Schinkel@VDOT.Virginia.gov,http://coapp09/website/Layer_Info/Traffic_Link.htm,R-VA080SC01996NB,767251,1,1,24000,SC-1996N (Roanoke County) - ADT 210,2009,386.22237401,0.00311652676889141
